country,region,sites,cabinet_nrc,cage_nrc,currency,effective_date
USA,Americas,"CH1,CH2,CH3,CH4,DA1,DA2,DA6,LA1,LA2,LA4,MI3,NY1,NY2,NY4,NY5,NY8,NY9,SE3,SV1,SV3,SV4,SV5,SV10,TR2,DC1,DC2,DC3,DC4,DC5,DC6,DC11",1500,1500,USD,2020-03-31
USA,Americas,All Other IBXs,1000,1000,USD,2020-03-31
USA,Americas,"DA7,DC10,DC12,DC15",3000,3000,USD,2020-03-31
Canada,Americas,All IBXs,1940,1940,CAD,2020-03-31
Brazil,Americas,All IBXs,4144,4144,BRL,2020-03-31
Colombia,Americas,All IBXs,4449255,4449255,COP,2020-03-31
Hong Kong,APAC,All,7830,24208,HKD,2020-03-31
Singapore,APAC,All,1017,4340,SGD,2020-03-31
Australia,APAC,All,2398,3570,AUD,2020-03-31
Japan,APAC,All,110000,436600,JPY,2020-03-31
South Korea,APAC,All,1120000,4368000,KRW,2020-03-31
China,APAC,All,6900,16700,CNY,2020-03-31
France,EMEA,All,1700,3200,EUR,2020-03-31
Germany,EMEA,All,1700,3500,EUR,2020-03-31
United Kingdom,EMEA,All,1400,2400,GBP,2020-03-31
Netherlands,EMEA,"EN1,ZW1",612,3100,EUR,2020-03-31
Netherlands,EMEA,Amsterdam,1600,3100,EUR,2020-03-31
Switzerland,EMEA,All,2000,3500,CHF,2020-03-31
Ireland,EMEA,All,1600,3000,EUR,2020-03-31
Sweden,EMEA,All,16500,31000,SEK,2020-03-31
Spain,EMEA,All,1600,4000,EUR,2020-03-31
Portugal,EMEA,All,1600,4000,EUR,2020-03-31
UAE,EMEA,All,8446,12945,AED,2020-03-31
Finland,EMEA,All,900,3100,EUR,2020-03-31
Oman,EMEA,All,3525,3525,USD,2020-03-31
Poland,EMEA,All,7000,15000,PLN,2020-03-31
Italy,EMEA,All,1600,3200,EUR,2020-03-31
Turkey,EMEA,All,1600,4000,USD,2020-03-31
Bulgaria,EMEA,All,1600,2000,EUR,2020-03-31
