country,sites,230v_16amp,230v_32amp,230v_63amp,400v_16amp,400v_32amp,400v_63amp,currency,effective_date
France,All,400,500,,700,800,,EUR,2020-03-31
Germany,All,200,400,,400,600,,EUR,2020-03-31
United Kingdom,All,200,375,,695,895,,GBP,2020-03-31
Netherlands,All,350,500,1000,500,700,,EUR,2020-03-31
Switzerland,All,500,500,1000,1000,1000,1500,CHF,2020-03-31
Ireland,All,350,500,1000,500,700,1400,EUR,2020-03-31
Sweden,All,5500,5041,,6000,8755,,SEK,2020-03-31
Spain,All,400,500,750,900,900,1200,EUR,2020-03-31
Portugal,All,400,500,,900,900,1200,EUR,2020-03-31
UAE,All,1400,1652,2020,4040,4406,5609,AED,2020-03-31
Finland,All,400,600,,800,800,,EUR,2020-03-31
Oman,All,400,560,550,1100,1200,1500,USD,2020-03-31
Poland,All,1500,2150,4350,,,,PLN,2020-03-31
Italy,All,400,500,,700,800,,EUR,2020-03-31
Turkey,All,400,500,750,500,800,1200,USD,2020-03-31
Bulgaria,All,350,500,1000,500,700,1400,EUR,2020-03-31
