country,region,metro,ibx,min_density_kva,price_per_kva,currency,effective_date
USA,Americas,Atlanta,AT1,5.0,315,USD,2020-03-31
USA,Americas,Atlanta,AT2,2.4,630,USD,2020-03-31
USA,Americas,Atlanta,AT3,2.4,630,USD,2020-03-31
USA,Americas,Atlanta,AT4,2.4,290,USD,2020-03-31
USA,Americas,Atlanta,AT5,5.0,290,USD,2020-03-31
USA,Americas,Boston,BO2,5.0,290,USD,2020-03-31
USA,Americas,Chicago,CH1,2.4,735,USD,2020-03-31
USA,Americas,Chicago,CH2,2.4,735,USD,2020-03-31
USA,Americas,Chicago,CH3,4.0,315,USD,2020-03-31
USA,Americas,Chicago,CH4,4.0,735,USD,2020-03-31
USA,Americas,Chicago,CH7,2.4,290,USD,2020-03-31
USA,Americas,Culpeper,CU1,4.0,525,USD,2020-03-31
USA,Americas,Culpeper,CU2,4.0,420,USD,2020-03-31
USA,Americas,Culpeper,CU3,4.0,315,USD,2020-03-31
USA,Americas,Culpeper,CU4,4.0,475,USD,2020-03-31
USA,Americas,Dallas,DA1,2.4,580,USD,2020-03-31
USA,Americas,Dallas,DA2,3.0,580,USD,2020-03-31
USA,Americas,Dallas,DA3,2.4,580,USD,2020-03-31
USA,Americas,Dallas,DA4,2.4,580,USD,2020-03-31
USA,Americas,Dallas,DA6,4.0,580,USD,2020-03-31
USA,Americas,Dallas,DA7,6.0,290,USD,2020-03-31
USA,Americas,Dallas,DA9,2.4,290,USD,2020-03-31
USA,Americas,Dallas,DA11,5.0,420,USD,2020-03-31
USA,Americas,Ashburn,DC1,2.5,580,USD,2020-03-31
USA,Americas,Ashburn,DC2,2.5,630,USD,2020-03-31
USA,Americas,Ashburn,DC3,2.5,395,USD,2020-03-31
USA,Americas,Ashburn,DC4,4.0,475,USD,2020-03-31
USA,Americas,Ashburn,DC5,4.0,475,USD,2020-03-31
USA,Americas,Ashburn,DC6,5.0,475,USD,2020-03-31
USA,Americas,Ashburn,DC7,4.0,340,USD,2020-03-31
USA,Americas,Ashburn,DC10,4.0,290,USD,2020-03-31
USA,Americas,Ashburn,DC11,5.0,475,USD,2020-03-31
USA,Americas,Ashburn,DC12,5.0,265,USD,2020-03-31
USA,Americas,Ashburn,DC13,4.0,290,USD,2020-03-31
USA,Americas,Ashburn,DC14,4.0,315,USD,2020-03-31
USA,Americas,Ashburn,DC15,5.0,265,USD,2020-03-31
USA,Americas,Denver,DE1,2.4,420,USD,2020-03-31
USA,Americas,Denver,DE2,5.0,315,USD,2020-03-31
USA,Americas,Houston,HO1,5.0,290,USD,2020-03-31
USA,Americas,Los Angeles,LA1,3.0,630,USD,2020-03-31
USA,Americas,Los Angeles,LA2,2.4,445,USD,2020-03-31
USA,Americas,Los Angeles,LA3,2.4,315,USD,2020-03-31
USA,Americas,Los Angeles,LA4,4.0,315,USD,2020-03-31
USA,Americas,Los Angeles,LA7,2.4,290,USD,2020-03-31
USA,Americas,Miami,MI1,5.0,475,USD,2020-03-31
USA,Americas,Miami,MI2,2.4,525,USD,2020-03-31
USA,Americas,Miami,MI3,4.0,580,USD,2020-03-31
USA,Americas,Miami,MI6,2.4,315,USD,2020-03-31
USA,Americas,New York,NY1,2.4,630,USD,2020-03-31
USA,Americas,New York,NY2,2.4,395,USD,2020-03-31
USA,Americas,New York,NY4,5.0,630,USD,2020-03-31
USA,Americas,New York,NY5,5.0,525,USD,2020-03-31
USA,Americas,New York,NY7,4.0,290,USD,2020-03-31
USA,Americas,New York,NY8,2.4,630,USD,2020-03-31
USA,Americas,New York,NY9,2.4,735,USD,2020-03-31
USA,Americas,New York,NY11,5.0,370,USD,2020-03-31
USA,Americas,New York,NY13,2.4,525,USD,2020-03-31
USA,Americas,Philadelphia,PH1,3.0,500,USD,2020-03-31
USA,Americas,Seattle,SE2,2.4,500,USD,2020-03-31
USA,Americas,Seattle,SE3,4.0,500,USD,2020-03-31
USA,Americas,Seattle,SE4,5.0,290,USD,2020-03-31
USA,Americas,Silicon Valley,SV1,2.4,735,USD,2020-03-31
USA,Americas,Silicon Valley,SV2,5.0,315,USD,2020-03-31
USA,Americas,Silicon Valley,SV3,2.4,315,USD,2020-03-31
USA,Americas,Silicon Valley,SV4,2.4,315,USD,2020-03-31
USA,Americas,Silicon Valley,SV5,5.0,500,USD,2020-03-31
USA,Americas,Silicon Valley,SV6,4.0,315,USD,2020-03-31
USA,Americas,Silicon Valley,SV8,2.4,1050,USD,2020-03-31
USA,Americas,Silicon Valley,SV10,5.0,500,USD,2020-03-31
USA,Americas,Silicon Valley,SV14,5.0,315,USD,2020-03-31
USA,Americas,Silicon Valley,SV15,5.0,315,USD,2020-03-31
USA,Americas,Silicon Valley,SV16,5.0,315,USD,2020-03-31
Canada,Americas,Toronto,TR1,2.4,755,CAD,2020-03-31
Canada,Americas,Toronto,TR2,5.0,560,CAD,2020-03-31
Colombia,Americas,Bogota,BG1,2.4,1417500,COP,2020-03-31
Brazil,Americas,Rio de Janeiro,RJ1,3.0,3185,BRL,2020-03-31
Brazil,Americas,Rio de Janeiro,RJ2,5.0,1585,BRL,2020-03-31
